,Date,hour,attendance,Attraction,Wait_time_max,NB_MAX_UNIT,GUEST_CARRIED,CAPACITY
0,2022/7/27,9,31143.78,Bumper Cars,0.8945233262264729,18,56.02654977273652,232.8267352040816
1,2022/7/27,10,31143.78,Bumper Cars,2.423246238377873,18,166.95928721405295,232.8267352040816
2,2022/7/27,11,31143.78,Bumper Cars,12.14937776051338,18,194.90082070010897,232.8267352040816
3,2022/7/27,12,31143.78,Bumper Cars,13.428581845487155,18,185.09500295321175,232.8267352040816
4,2022/7/27,13,31143.78,Bumper Cars,14.596642438937264,18,179.84659003857263,232.8267352040816
5,2022/7/27,14,31143.78,Bumper Cars,19.16279432194026,18,176.61915360308654,232.8267352040816
6,2022/7/27,15,31143.78,Bumper Cars,17.862659188350264,18,169.02775586117275,232.8267352040816
7,2022/7/27,16,31143.78,Bumper Cars,12.57721209939173,18,178.52513442780452,232.8267352040816
8,2022/7/27,17,31143.78,Bumper Cars,12.202883649265116,18,180.86724438808812,232.8267352040816
9,2022/7/27,18,31143.78,Bumper Cars,9.773560829686588,18,185.51532192574217,232.8267352040816
10,2022/7/27,19,31143.78,Bumper Cars,9.373284089294966,18,165.16632919557426,232.8267352040816
11,2022/7/27,20,31143.78,Bumper Cars,5.106483488296655,18,136.47658816114247,232.8267352040816
12,2022/7/27,21,31143.78,Bumper Cars,5.067588822902737,18,144.8488910643191,232.8267352040816
13,2022/7/27,22,31143.78,Bumper Cars,0.1980103993272233,18,15.275406453688536,232.8267352040816
14,2022/7/28,9,35390.42,Bumper Cars,1.3724365129353084,18,53.37060411971699,232.8267352040816
15,2022/7/28,10,35390.42,Bumper Cars,4.282794236473169,18,154.27790032177978,232.8267352040816
16,2022/7/28,11,35390.42,Bumper Cars,10.950013513557549,18,170.5834756055377,232.8267352040816
17,2022/7/28,12,35390.42,Bumper Cars,14.902013200446932,18,172.32978972135925,232.8267352040816
18,2022/7/28,13,35390.42,Bumper Cars,14.317532466083955,18,172.77604656886797,232.8267352040816
19,2022/7/28,14,35390.42,Bumper Cars,17.510077519034056,18,171.19189069169056,232.8267352040816
20,2022/7/28,15,35390.42,Bumper Cars,16.617395150985917,18,163.2849156241901,232.8267352040816
21,2022/7/28,16,35390.42,Bumper Cars,15.351104538058308,18,177.97784271788237,232.8267352040816
22,2022/7/28,17,35390.42,Bumper Cars,11.886389911151454,18,179.00675942701906,232.8267352040816
23,2022/7/28,18,35390.42,Bumper Cars,11.686980701377674,18,178.03507978687148,232.8267352040816
24,2022/7/28,19,35390.42,Bumper Cars,10.353204595814994,18,166.3096447,232.8267352040816
25,2022/7/28,20,35390.42,Bumper Cars,6.330918457752535,18,132.73080622286506,232.8267352040816
26,2022/7/28,21,35390.42,Bumper Cars,6.153284163832946,18,138.3555571850339,232.8267352040816
27,2022/7/28,22,35390.42,Bumper Cars,1.9155696970407048,18,23.37913819990001,232.8267352040816
28,2022/7/29,9,40062.527,Bumper Cars,3.106905971076847,18,62.79489939761276,232.8267352040816
29,2022/7/29,10,40062.527,Bumper Cars,5.7607585930369005,18,151.53747590762464,232.8267352040816
30,2022/7/29,11,40062.527,Bumper Cars,11.845396144347443,18,169.2510801518581,232.8267352040816
31,2022/7/29,12,40062.527,Bumper Cars,15.63519535572432,18,175.47719432232677,232.8267352040816
32,2022/7/29,13,40062.527,Bumper Cars,15.662193992779672,18,176.1723010941535,232.8267352040816
33,2022/7/29,14,40062.527,Bumper Cars,17.89410054780053,18,173.93679030815494,232.8267352040816
34,2022/7/29,15,40062.527,Bumper Cars,17.303392372913514,18,169.24940983268343,232.8267352040816
35,2022/7/29,16,40062.527,Bumper Cars,16.38053579375624,18,181.6681205430763,232.8267352040816
36,2022/7/29,17,40062.527,Bumper Cars,12.997192123388778,18,182.10961385128405,232.8267352040816
37,2022/7/29,18,40062.527,Bumper Cars,13.09079059,18,182.5971925654139,232.8267352040816
38,2022/7/29,19,40062.527,Bumper Cars,11.454556321793405,18,172.4699966079821,232.8267352040816
39,2022/7/29,20,40062.527,Bumper Cars,7.619201795662935,18,138.51534425416992,232.8267352040816
40,2022/7/29,21,40062.527,Bumper Cars,6.918938496564447,18,137.94357694614442,232.8267352040816
41,2022/7/29,22,40062.527,Bumper Cars,2.876708701262918,18,31.94314403607399,232.8267352040816
42,2022/7/30,9,42867.26,Bumper Cars,4.200690676,18,69.48078614282456,232.8267352040816
43,2022/7/30,10,42867.26,Bumper Cars,6.481182602286118,18,152.1598347027815,232.8267352040816
44,2022/7/30,11,42867.26,Bumper Cars,12.307200593029313,18,170.38140511768162,232.8267352040816
45,2022/7/30,12,42867.26,Bumper Cars,16.063644466005666,18,178.90298833708215,232.8267352040816
46,2022/7/30,13,42867.26,Bumper Cars,16.164950850652414,18,179.2614458007022,232.8267352040816
47,2022/7/30,14,42867.26,Bumper Cars,17.97015035,18,175.56349874136325,232.8267352040816
48,2022/7/30,15,42867.26,Bumper Cars,17.55634114875481,18,172.5312892016213,232.8267352040816
49,2022/7/30,16,42867.26,Bumper Cars,16.709949821822686,18,182.83196573300853,232.8267352040816
50,2022/7/30,17,42867.26,Bumper Cars,13.467257543611652,18,183.61689593536536,232.8267352040816
51,2022/7/30,18,42867.26,Bumper Cars,13.569657679492728,18,185.30340139012296,232.8267352040816
52,2022/7/30,19,42867.26,Bumper Cars,11.84671715541586,18,175.10153594403138,232.8267352040816
53,2022/7/30,20,42867.26,Bumper Cars,8.073537937742143,18,140.93829532767944,232.8267352040816
54,2022/7/30,21,42867.26,Bumper Cars,7.074756485252504,18,135.32188093664632,232.8267352040816
55,2022/7/30,22,42867.26,Bumper Cars,3.239408690438097,18,37.03584779794981,232.8267352040816
56,2022/7/31,9,53097.21,Bumper Cars,4.609966275,18,72.98691080839416,232.8267352040816
57,2022/7/31,10,53097.21,Bumper Cars,6.677942002248916,18,151.57034837500612,232.8267352040816
58,2022/7/31,11,53097.21,Bumper Cars,12.36112450824468,18,170.24254970768237,232.8267352040816
59,2022/7/31,12,53097.21,Bumper Cars,16.136696176085913,18,179.86078622720504,232.8267352040816
60,2022/7/31,13,53097.21,Bumper Cars,16.26218167174528,18,180.12395550614724,232.8267352040816
61,2022/7/31,14,53097.21,Bumper Cars,17.828346618551695,18,175.41727743369736,232.8267352040816
62,2022/7/31,15,53097.21,Bumper Cars,17.524503414810432,18,173.33954834599672,232.8267352040816
63,2022/7/31,16,53097.21,Bumper Cars,16.725888239643183,18,182.4307217828503,232.8267352040816
64,2022/7/31,17,53097.21,Bumper Cars,13.604345612899754,18,183.42967045907727,232.8267352040816
65,2022/7/31,18,53097.21,Bumper Cars,13.649359898313294,18,185.91766450042763,232.8267352040816
66,2022/7/31,19,53097.21,Bumper Cars,11.906936329522647,18,175.20852166834243,232.8267352040816
67,2022/7/31,20,53097.21,Bumper Cars,8.214153057361484,18,140.87928430389903,232.8267352040816
68,2022/7/31,21,53097.21,Bumper Cars,7.029491687055478,18,131.4633497109627,232.8267352040816
69,2022/7/31,22,53097.21,Bumper Cars,3.378918361020809,18,40.207718741545975,232.8267352040816
70,2022/8/1,9,44867.062,Bumper Cars,4.780259322159056,18,75.09734334726048,232.8267352040816
71,2022/8/1,10,44867.062,Bumper Cars,6.724323959945545,18,150.59282973732758,232.8267352040816
72,2022/8/1,11,44867.062,Bumper Cars,12.29805806888996,18,169.62441772053367,232.8267352040816
73,2022/8/1,12,44867.062,Bumper Cars,16.082184580425594,18,179.87099884811508,232.8267352040816
74,2022/8/1,13,44867.062,Bumper Cars,16.24596238452237,18,180.23698330602625,232.8267352040816
75,2022/8/1,14,44867.062,Bumper Cars,17.65208045633302,18,175.0142596470101,232.8267352040816
76,2022/8/1,15,44867.062,Bumper Cars,17.412286279036124,18,173.48815128285702,232.8267352040816
77,2022/8/1,16,44867.062,Bumper Cars,16.647674142020925,18,181.6941020845589,232.8267352040816
78,2022/8/1,17,44867.062,Bumper Cars,13.62768059007509,18,182.70118808072783,232.8267352040816
